[0]  lossD=0.0088  lossG=1.2655
[1]  lossD=0.3783  lossG=1.1398
[2]  lossD=1.6550  lossG=0.3243
[3]  lossD=1.7894  lossG=0.1286
[4]  lossD=1.9446  lossG=-0.1245
[5]  lossD=1.8923  lossG=-0.2821
[6]  lossD=1.8900  lossG=-0.4490
[7]  lossD=1.8822  lossG=-0.3123
[8]  lossD=1.8986  lossG=-0.2283
[9]  lossD=1.8985  lossG=0.0551
[10]  lossD=1.8998  lossG=0.3259
[11]  lossD=1.8876  lossG=-0.0079
[12]  lossD=1.9363  lossG=0.6809
[13]  lossD=1.9010  lossG=0.2125
[14]  lossD=1.8625  lossG=0.4540
[15]  lossD=1.9212  lossG=-0.0853
[16]  lossD=1.9075  lossG=0.1777
[17]  lossD=1.9190  lossG=0.1614
[18]  lossD=1.9758  lossG=0.2520
[19]  lossD=1.9316  lossG=-0.1020
[20]  lossD=1.8909  lossG=0.0795
[21]  lossD=1.8856  lossG=-0.0410
[22]  lossD=1.9238  lossG=-0.0255
[23]  lossD=1.9396  lossG=0.0557
[24]  lossD=1.8936  lossG=-0.1093
[25]  lossD=1.9617  lossG=0.3064
[26]  lossD=1.8979  lossG=-0.1178
[27]  lossD=2.0181  lossG=0.0513
[28]  lossD=1.9208  lossG=-0.0431
[29]  lossD=1.8740  lossG=0.1104
[30]  lossD=1.9877  lossG=-0.0611
[31]  lossD=1.9096  lossG=0.1697
[32]  lossD=1.9421  lossG=0.0175
[33]  lossD=1.8885  lossG=0.1237
[34]  lossD=1.9120  lossG=-0.1254
[35]  lossD=1.9436  lossG=0.2688
[36]  lossD=1.8852  lossG=-0.4928
[37]  lossD=1.8157  lossG=-0.3811
[38]  lossD=1.8946  lossG=0.1615
[39]  lossD=1.8958  lossG=0.0524
[40]  lossD=1.9120  lossG=0.0980
[41]  lossD=1.9512  lossG=-0.0635
[42]  lossD=1.9274  lossG=-0.0309
[43]  lossD=1.9347  lossG=0.5704
[44]  lossD=1.8745  lossG=-0.1405
[45]  lossD=1.9054  lossG=-0.4028
[46]  lossD=1.9562  lossG=0.1207
[47]  lossD=1.8666  lossG=0.1356
[48]  lossD=1.9038  lossG=-0.1592
[49]  lossD=1.9065  lossG=-0.0586
